id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,559,HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,269,HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,33,HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,325,HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2928,HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,HEKTAR,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,439,HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,125,HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,147,HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,204,HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,223,HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,133,HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,4,HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,7,HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,14,HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96,HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,124,HEKTAR,2021
