id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_kacang_tanah,satuan,tahun
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14.21,KUINTAL PER HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,17.37,KUINTAL PER HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,14.47,KUINTAL PER HEKTAR,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12.72,KUINTAL PER HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15.29,KUINTAL PER HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,15.43,KUINTAL PER HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.05,KUINTAL PER HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16.15,KUINTAL PER HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0.0,KUINTAL PER HEKTAR,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,15.78,KUINTAL PER HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13.6,KUINTAL PER HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,17.79,KUINTAL PER HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,KUINTAL PER HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20.13,KUINTAL PER HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,14.08,KUINTAL PER HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,11.32,KUINTAL PER HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,12.29,KUINTAL PER HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,16.25,KUINTAL PER HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0.0,KUINTAL PER HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,15.32,KUINTAL PER HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,13.22,KUINTAL PER HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15.2,KUINTAL PER HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,12.52,KUINTAL PER HEKTAR,2021
