id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,879,HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,615,HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11,HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1664,HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,48,HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,155,HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,4,HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,7,HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,1,HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,28,HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,20,HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,37,HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,92,HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,112,HEKTAR,2021
